date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:09	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:09%20GMT	https://nrjac16.wixsite.com/mysite/a28cca36.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/a28cca36.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:10	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:10%20GMT	https://nrjac16.wixsite.com/mysite/02b07b80.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/02b07b80.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:11	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:11%20GMT	https://nrjac16.wixsite.com/mysite/265e9a4a.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/265e9a4a.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:12	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:12%20GMT	https://nrjac16.wixsite.com/mysite/ff342417.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/ff342417.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:13	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:13%20GMT	https://nrjac16.wixsite.com/mysite/2a1582d7.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/2a1582d7.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:14	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:14%20GMT	https://nrjac16.wixsite.com/mysite/eb321d93.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/eb321d93.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:15	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:15%20GMT	https://nrjac16.wixsite.com/mysite/06cfef68.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/06cfef68.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:16	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:16%20GMT	https://nrjac16.wixsite.com/mysite/49a18e23.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/49a18e23.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:17	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:17%20GMT	https://nrjac16.wixsite.com/mysite/2467b183.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/2467b183.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:18	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:18%20GMT	https://nrjac16.wixsite.com/mysite/f9fd7cbe.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/f9fd7cbe.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:19	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:19%20GMT	https://nrjac16.wixsite.com/mysite/e142d0f4.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/e142d0f4.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:20	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:20%20GMT	https://nrjac16.wixsite.com/mysite/96a73741.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/96a73741.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:21	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:21%20GMT	https://nrjac16.wixsite.com/mysite/4c758e80.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/4c758e80.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:22	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:22%20GMT	https://nrjac16.wixsite.com/mysite/44b62fdc.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/44b62fdc.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:23	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:23%20GMT	https://nrjac16.wixsite.com/mysite/7f8c7c3e.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/7f8c7c3e.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:24	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:24%20GMT	https://nrjac16.wixsite.com/mysite/fbbc0ea4.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/fbbc0ea4.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:25	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:25%20GMT	https://nrjac16.wixsite.com/mysite/5d29307d.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/5d29307d.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:26	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:26%20GMT	https://nrjac16.wixsite.com/mysite/85af43ab.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/85af43ab.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:27	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:27%20GMT	https://nrjac16.wixsite.com/mysite/7010eb60.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/7010eb60.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:28	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:28%20GMT	https://nrjac16.wixsite.com/mysite/566bec70.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/566bec70.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:29	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:29%20GMT	https://nrjac16.wixsite.com/mysite/fc40122e.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/fc40122e.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:30	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:30%20GMT	https://nrjac16.wixsite.com/mysite/45242c23.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/45242c23.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:31	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:31%20GMT	https://nrjac16.wixsite.com/mysite/0efca64c.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/0efca64c.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:32	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:32%20GMT	https://nrjac16.wixsite.com/mysite/42ccdc69.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/42ccdc69.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:33	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:33%20GMT	https://nrjac16.wixsite.com/mysite/4ea3b970.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/4ea3b970.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:34	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:34%20GMT	https://nrjac16.wixsite.com/mysite/0ee85551.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/0ee85551.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:35	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:35%20GMT	https://nrjac16.wixsite.com/mysite/085f85ee.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/085f85ee.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:36	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:36%20GMT	https://nrjac16.wixsite.com/mysite/fc21aae5.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/fc21aae5.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:37	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:37%20GMT	https://nrjac16.wixsite.com/mysite/641eb53d.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/641eb53d.min.css	(from https://nrjac16.wixsite.com/mysite)
